epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,18.0327,0.46065,0.98113,1,0.08453,0.00036674,0.00036674,0.00036674
2,23.8371,0.11412,1,1,0.02966,0.000675885,0.000675885,0.000675885
3,30.5811,0.08188,0.96226,1,0.12165,0.000909115,0.000909115,0.000909115
4,35.3208,0.08109,1,1,0.00575,0.00106643,0.00106643,0.00106643
5,40.4239,0.07653,1,1,0.01834,0.00100687,0.00100687,0.00100687
6,45.5707,0.04831,0.98113,1,0.03761,0.000841835,0.000841835,0.000841835
7,51.3428,0.06821,0.98113,1,0.01669,0.000676802,0.000676802,0.000676802
8,56.801,0.03554,1,1,0.00217,0.000511769,0.000511769,0.000511769
9,62.7311,0.04793,1,1,0.00152,0.000346736,0.000346736,0.000346736
10,68.24,0.09305,1,1,0.00146,0.000181703,0.000181703,0.000181703
